,,STARTUP-O S5 FASTTRACK ONLINE PROGRAM - PITCH ROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,expert_name,startup_name,How well is the problem identified and defined?,What is the level of pain area felt / perceived by the target customers / consumers?,What is the level of uniqueness in the proposition for the venture?,How high are the defensible technology barriers in the business? (High being 4),What is the strength of the competitive advantage in the business model?,What is the level of competition in terms of alternatives available ?,Low Price,Superior Quality,Distribution Leverage,Geographic Presence,Other,What is the level of sustainability of the competitive advantage in the next 24 months?,What is the geographic scope of operations in 2-3 years?,No Traction yet,Some Free Customers,Lots of Free Customers,Some Paid Customers,Growing Fast,Other,Are the business milestones for the next 24 months exciting?,Are the business metrics clearly defined,Other,Please rank from high to low the risks to your revenue in next 24 months ?,How feasible do you think is the Go To Market plan in next 12-18 month timeframe ?,What is the level of understanding and clarity of the financial projections by the team ?,Does the business model has high level of operating leverage & scalability potential ?,How do you think is the ability of the team to manage risks with Plan B ?,What would you say is your ‘Unfair Advantage’ that would add competitive advantage vs anyone who could start the same venture ?,How would you rate the likability & connect with the Founder and his authenticity?,Lack of complementary Co-Founder,No Tech Leadership,Quality of Developers,Business Dev,Marketing,Other,Tech,Marketing,Biz Dev,Fund Raise,Other,How did you find the overall presentation quality in terms of clarity and impact through communication ?,"How would you rate the quality of presentation deck in terms of clarity, scope, visual impact & simplicity ?",What is the overall feasibility of the business going forward ?,Relevant Industry/market background of team,Addressable Market Size,Technology Barrier,Go to market plan strength,Revenue Stage,Product Uniqueness,Additional Comments,Start Date (UTC),Submit Date (UTC),Network ID
,Madhulika Sachdeva,Waitrr,4,3,2,1,Medium,Low,,,Distribution Leverage,Geographic Presence,,Medium(12-24 Months),2-3 Countries,,,,Some Paid Customers,,,1,Yes,,"D,C,A",3,3,Medium,Medium,"Business experience and domain knowledge, an early mover in SG market, passion, willingness to listen",4,,No Tech Leadership,,,Marketing,,,Marketing,,,,3,3,High,Highly relevant backgrounds,High (>200 M),No technological barriers,Conditional on certain key events,Steady revenues with need to scale,Differentiated and strong product-market fit,"I think Waitrr can provide strong benefits to both diners and restaurants while relieving significant friction from the dining experience on both sides of the table. There is a great product-market fit. I like the experience and passion the founder brings to the table. The solution itself is not unique or defensible on tech, there are similar players in the US and Europe. But Waitrr has early traction in the market and there are huge opportunities in APAC if they can move early and scale up fast. Founder needs to bring in senior talent in technology, marketing and analytics who can help drive consumer behaviour changes, find opportunities to monetise consumer insights data on both micro and macro level and figure out if how can they grow their value for partners and users. Take Opentable for example. It started out as a reservation platform and today the system is a fixture in restaurants and its services have grown to include reviews, rewards, recommendations, and (most recently) payments. As I said, this is not a deep tech space,  they key to success is a good product, quick scale up and building differentiation to stave of competition. If they stay focussed on the problem - how can I help restaurant businesses be more successful, I think that is they key. Highly RECOMMEND taking a good look at this startup. There is potential with the right team in place.",2018-01-25 00:50:14,2018-01-25 02:07:24,118398a4bd
,Madhulika Sachdeva,BYKidO,2,2,1,1,Medium,High,,Superior Quality,Distribution Leverage,Geographic Presence,,Low(<12 Months),Home Country,,,,Some Paid Customers,,,0,No,,DC,1,2,Medium,Low,none,1,,No Tech Leadership,,Business Dev,Marketing,,Tech,Marketing,Biz Dev,Fund Raise,,2,1,Low ,Inexperienced team,Small (<50 M),No technological barriers,Conditional on certain key events,Early in revenue cycle - 12-24 months to stable revenues,Not differentiated,"They are competing in a small market with strong, well-established players. Advertising revenues will be really hard to scale up. BYOKids Card is the only idea that's worth investigating. If they can model it on Guava Pass but for kids, they may have something they can scale across Asian cities. ",2018-01-28 02:43:40,2018-01-28 08:47:42,118398a4bd
,Madhulika Sachdeva,FINIZZ,4,4,2,2,Medium,High,,,Distribution Leverage,Geographic Presence,,Low(<12 Months),Home Country,,,,Some Paid Customers,,,1,Yes,,DCA,2,2,Medium,Medium,Early mover advantage in Vietnam. ,2,,,,Business Dev,Marketing,,,Marketing,Biz Dev,,,3,3,Medium,General business proficiency,Small (<50 M),No technological barriers,Logical and well planned but no provenance,Imminent revenue in 6-12m,Not differentiated,"Although they have early mover advantage and more relationships with clinics and doctors than their competitors, the key is how quickly can they scale up from here. There are strong players in Asia like GetDoc, Practo and DoctoLib who are eyeing the Vietnam market. Its a risk as well as opportunity. If they are able to scale up quickly, they will be prime acquisition target.",2018-01-28 08:48:04,2018-01-28 08:55:35,118398a4bd
,Madhulika Sachdeva,Ayoslide,3,1,1,1,Medium,High,,,Distribution Leverage,Geographic Presence,,Low(<12 Months),Home Country,,,,,Growing Fast,,1,Yes,,DBCA,2,1,Medium,Low,Investment from Mobile Service provider guaranteeing them access to their subscriber base,3,,,,Business Dev,Marketing,,,Marketing,,,,3,2,Medium,Highly relevant backgrounds,Small (<50 M),No technological barriers,Conditional on certain key events,Steady revenues with need to scale,Not differentiated,"Google is cracking down on Android apps that show ads on your lock screen because of growing complaints from its user base. Ayoslide hasn't been affected since its an app purely for lock screen ads that has users' permission to display. But this is a slightly grey area and high risk. Possibly their entire business model could get wiped out by one decision by Google. Again, strong competition from other lock screen apps and phone makers like Samsung who are preinstalling lock screen apps in some of their phones to subsidise their buyers. ",2018-01-28 09:00:55,2018-01-28 09:12:18,118398a4bd
,Madhulika Sachdeva,University Living Accommodation Pvt Ltd,4,4,2,1,Medium,Medium,,,Distribution Leverage,Geographic Presence,,Low(<12 Months),Global,,,,Some Paid Customers,,,0,Yes,,"D,C",2,2,High,Medium,First mover advantage in Indian market,2,,No Tech Leadership,,Business Dev,Marketing,,Tech,Marketing,Biz Dev,,,2,3,Medium,General business proficiency,Medium (50-200 M),No technological barriers,Conditional on certain key events,Imminent revenue in 6-12m,Differentiated and strong product-market fit,"It's a very lucrative market however there's a well funded strong established brand - student.com. Unless University Living can differentiate their offering, I don't see how they will compete with Student.com. The good news is that when it comes to this market ‘one-size-fits-all’ approach won't work. I think they would benefit from focussing on understanding what is unique to Indian stakeholders, what are their pain points, how do you address them, how do you build loyalty with parents concerned about the comfort and safety of their children, how do you redefine your offering to be seen as the most trustworthy service provider, how do you increase the CLV...",2018-01-28 02:24:36,2018-01-28 02:43:14,118398a4bd
,Madhulika Sachdeva,GetFly,4,3,2,1,Medium,Medium,Low Price,,Distribution Leverage,Geographic Presence,,Medium(12-24 Months),Home Country,,,,,Growing Fast,,1,Yes,,DCA,3,3,Medium,Medium,early move in cloud based CRM ,3,,,,Business Dev,Marketing,,Tech,Marketing,,Fund Raise,,2,3,Medium,General business proficiency,Small (<50 M),No technological barriers,Conditional on certain key events,Steady revenues with need to scale,Not differentiated,"CRM is a growing market in Asia. Its becoming increasingly mission critical for small businesses. and there are always opportunities and if you are going after smaller local business even if the market is not as large as it is for players like zoho and salesforce.
However the entry barriers are low too. There are CRM modules available in open source that its easy to pick it up, customise, add security and support and add price to it. GetFly does have an early mover advantage over local players and price advantage over global players. They need to figure out what is it that will keep them competitive in this market. ",2018-02-01 02:05:16,2018-02-01 02:15:50,118398a4bd
,Marc Nicollet,Into23,3,2,2,3,Medium,High,,,,,Technologic advantage .. when future platform ready,Medium(12-24 Months),Pan Asia,,,Lots of Free Customers,,,,1,Yes,,d,2,2,High,High,into23 is planning to develop translation as a service in the future... ,2,Lack of complementary Co-Founder,No Tech Leadership,Quality of Developers,,,,Tech,,,,,2,2,Medium,Highly relevant backgrounds,High (>200 M),Differentiated but not defensible,Logical and well planned but no provenance,Imminent revenue in 6-12m,Not differentiated,"if no mistake into23 is not planning development investment into the ""platform"" they claim to have soon.. but without development ??.. most of 2018 budget of money to borrow is to pay the CEO and CTO!",2018-01-27 11:48:35,2018-01-27 12:11:34,92fe97112e
,Marc Nicollet,Stones2Milestones,4,3,4,3,High (Likely to be in top 3 in 24 months time),Low,,,Distribution Leverage,,,High(>24 Months),Pan Asia,,,,,Growing Fast,,1,Yes,,A,4,3,High,High,arriving first in the large Indian market getting schools enrolled,4,,,Quality of Developers,,,,,,,,dependent of 3 different IT companies for their 3 software components without internal IT to integrate the solution,4,3,High,Highly relevant backgrounds,High (>200 M),Differentiated but not defensible,Well planned and provides successful strategy,Steady revenues with need to scale,Differentiated and strong product-market fit,"Exciting promising startup doing business for the good.. may be too optimistic target on-boarding 70 new schools by April 2018, double check with them if feasible?",2018-01-29 06:09:45,2018-01-29 06:25:08,78a8207772
